problem,instance,method,logical_qubits,qaoa_depth,parameter_count,compilation_condition,backend_topology,backend_name_or_surrogate,optimization_level,layout_strategy,routing_strategy,use_fractional_gates,mitigation_compatibility_note,logical_two_qubit_gates,transpiled_two_qubit_gates,swap_count,two_qubit_depth,total_depth,estimated_fidelity_proxy,below_fidelity_0_1,below_fidelity_0_01,below_fidelity_1e_3,notes
MDKP,hp1,QAOA,60,3,6,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,3765,22621,5030,not_recorded_in_historical_artifact,12280,3.06886e-127,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MDKP,hp1,QAOA,60,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,3765,24918,5796,4736,13196,4.46526e-139,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MDKP,hp1,QAOA,60,3,6,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,3765,21153,5796,4082,11604,9.48903e-125,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MDKP,hp1,QAOA,60,3,6,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,3765,18075,3515,3513,10580,1.76593e-102,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MDKP,hp1,MA-QAOA,60,3,4125,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,3765,22019,4830,not_recorded_in_historical_artifact,12323,2.70351e-124,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MDKP,hp1,MA-QAOA,60,3,4125,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,3765,24918,5796,4736,13196,4.46526e-139,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MDKP,hp1,MA-QAOA,60,3,4125,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,3765,21153,5796,4082,11604,9.48903e-125,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MDKP,hp1,MA-QAOA,60,3,4125,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,3765,18075,3515,3513,10580,1.76593e-102,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MDKP,hp1,WS-QAOA,60,3,6,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,3765,23114,5195,not_recorded_in_historical_artifact,11945,7.2215e-130,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MDKP,hp1,WS-QAOA,60,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,3765,24918,5796,4736,13197,4.28589e-139,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MDKP,hp1,WS-QAOA,60,3,6,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,3765,21153,5796,4082,11612,7.45688e-125,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MDKP,hp1,WS-QAOA,60,3,6,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,3765,18075,3515,3513,10581,1.70861e-102,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MIS,1tc.32,QAOA,32,3,6,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,204,935,176,not_recorded_in_historical_artifact,826,1.91844e-06,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MIS,1tc.32,QAOA,32,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,204,969,187,239,737,1.35868e-06,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MIS,1tc.32,QAOA,32,3,6,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,204,765,187,196,541,1.9154e-05,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MIS,1tc.32,QAOA,32,3,6,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,204,720,104,201,694,2.90643e-05,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MIS,1tc.32,MA-QAOA,32,3,396,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,204,915,169,not_recorded_in_historical_artifact,761,2.36437e-06,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MIS,1tc.32,MA-QAOA,32,3,396,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,204,969,187,239,737,1.35868e-06,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MIS,1tc.32,MA-QAOA,32,3,396,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,204,765,187,196,541,1.9154e-05,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MIS,1tc.32,MA-QAOA,32,3,396,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,204,720,104,201,694,2.90643e-05,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MIS,1tc.32,WS-QAOA,32,3,6,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,204,911,168,not_recorded_in_historical_artifact,849,2.3385e-06,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MIS,1tc.32,WS-QAOA,32,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,204,969,187,239,737,1.35868e-06,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MIS,1tc.32,WS-QAOA,32,3,6,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,204,765,187,196,541,1.90584e-05,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MIS,1tc.32,WS-QAOA,32,3,6,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,204,720,104,201,694,2.90643e-05,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
QAP,tai10a,QAOA,100,3,6,historical_baseline,historical_heavy_hex,ibm_marrakesh,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,14310,79041,16807,not_recorded_in_historical_artifact,35011,0,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
QAP,tai10a,QAOA,100,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,14310,95754,22378,13843,38413,0,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
QAP,tai10a,QAOA,100,3,6,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,14310,81444,22378,12017,34324,0,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
QAP,tai10a,QAOA,100,3,6,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,14310,65244,12208,8460,25632,0,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
QAP,tai10a,MA-QAOA,100,3,14910,historical_baseline,historical_heavy_hex,ibm_marrakesh,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,14310,79027,16802,not_recorded_in_historical_artifact,26862,0,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
QAP,tai10a,MA-QAOA,100,3,14910,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,14310,95754,22378,13843,38413,0,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
QAP,tai10a,MA-QAOA,100,3,14910,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,14310,81444,22378,12017,34324,0,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
QAP,tai10a,MA-QAOA,100,3,14910,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,14310,65244,12208,8460,25632,0,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
QAP,tai10a,WS-QAOA,100,3,6,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,14310,76532,15971,not_recorded_in_historical_artifact,26709,0,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
QAP,tai10a,WS-QAOA,100,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,14310,90610,20663,12464,33020,0,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
QAP,tai10a,WS-QAOA,100,3,6,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,14310,81444,22378,12017,34338,0,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
QAP,tai10a,WS-QAOA,100,3,6,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,14310,60100,10493,7649,22183,0,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MSP,ms20,QAOA,84,3,6,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,6300,38936,8779,not_recorded_in_historical_artifact,19016,3.35869e-218,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MSP,ms20,QAOA,84,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,6300,43968,10456,7121,19347,1.94792e-244,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MSP,ms20,QAOA,84,3,6,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,6300,37668,10456,6219,17778,6.59222e-222,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MSP,ms20,QAOA,84,3,6,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,6300,31656,6352,5518,16271,2.21255e-178,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MSP,ms20,MA-QAOA,84,3,6804,historical_baseline,historical_heavy_hex,ibm_torino,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,6300,39302,8901,not_recorded_in_historical_artifact,17352,3.1668e-220,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MSP,ms20,MA-QAOA,84,3,6804,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,6300,43968,10456,7121,19347,1.94792e-244,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MSP,ms20,MA-QAOA,84,3,6804,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,6300,37668,10456,6219,17778,6.59222e-222,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MSP,ms20,MA-QAOA,84,3,6804,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,6300,31656,6352,5518,16271,2.21255e-178,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
MSP,ms20,WS-QAOA,84,3,6,historical_baseline,historical_heavy_hex,ibm_marrakesh,3,preset_passmanager_default,preset_passmanager_default,false,original hardware workflow; historical artifact row,6300,39227,8876,not_recorded_in_historical_artifact,19052,5.66734e-220,true,true,true,Historical compilation metrics read from saved job metadata; historical_baseline_reconstructed because backend calibrations are not replayed.
MSP,ms20,WS-QAOA,84,3,6,swap_aware_heron,heron_heavy_hex_surrogate,fake_fez,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,compatible as a compilation-only resource estimate,6300,43968,10456,7121,19347,1.83265e-244,true,true,true,"Qubit selection uses the fake_fez heavy-hex target; Qiskit SABRE layout/routing is a SWAP-aware heuristic, not an optimal or SAT-proved route; logical cost operator and final bound parameters are unchanged."
MSP,ms20,WS-QAOA,84,3,6,fractional_gate_heron,heron_heavy_hex_fractional_gate_surrogate,fake_fez_coupling_map_fractional_basis,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,true,Fractional-gate compilation is a circuit-resource counterfactual only; not executed under the original ZNE/probabilistic-error-amplification workflow.,6300,37668,10456,6219,17793,4.64546e-222,true,true,true,"Bound circuit compiled with an RZZ-preserving basis on the Heron surrogate coupling map; fidelity column is a gate-count proxy \u007eF_gate, not a calibrated fractional-gate fidelity estimate."
MSP,ms20,WS-QAOA,84,3,6,swap_aware_nighthawk,nighthawk_square_lattice_surrogate,fake_nighthawk,1,sabre_connectivity_aware_initial_layout,sabre_swap_routing,false,topology-only compilation; no hardware execution used,6300,31656,6352,5518,16271,2.11308e-178,true,true,true,Topology-only Nighthawk fake-backend compilation; no Nighthawk calibration data or hardware execution used; logical cost operator and final bound parameters are unchanged.
